@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
84,'2021/03/18 14:49:32:812',5,1084,-1616.5,0.2,0.7
85,'2021/03/18 14:49:33:312',5,1105.5,-1570,0.2,0.7
86,'2021/03/18 14:49:33:812',5,1075,-1641,0.2,0.7
87,'2021/03/18 14:49:34:312',5,1039,-1621.5,0.2,0.7
88,'2021/03/18 14:49:34:812',5,1040,-1655.5,0.2,0.7
89,'2021/03/18 14:49:35:312',5,1039.5,-1648,0.2,0.7
90,'2021/03/18 14:49:35:812',5,1064.5,-1722.5,0.2,0.7
91,'2021/03/18 14:49:36:312',5,1076.5,-1712,0.2,0.7
92,'2021/03/18 14:49:36:812',5,1028.5,-1658,0.2,0.7
93,'2021/03/18 14:49:37:312',5,1002,-1639.5,0.2,0.7
94,'2021/03/18 14:49:37:812',5,1048.5,-1626.5,0.2,0.7
95,'2021/03/18 14:49:38:312',5,1090.5,-1640.5,0.2,0.7
96,'2021/03/18 14:49:38:812',5,1094.5,-1704,0.2,0.7
